Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/24/2026,06/25/2026,AMAZON.COM*A1B2C3D4,Shopping,Sale,-42.18,
06/23/2026,06/24/2026,TRADER JOE'S #412,Groceries,Sale,-68.40,
06/22/2026,06/23/2026,SHELL OIL 57421,Gas,Sale,-51.10,
06/21/2026,06/22/2026,NETFLIX.COM,Entertainment,Sale,-15.49,
06/20/2026,06/21/2026,STARBUCKS STORE 00119,Food & Drink,Sale,-6.85,
06/19/2026,06/20/2026,TARGET 00021456,Shopping,Sale,-113.27,
06/18/2026,06/19/2026,UBER TRIP HELP.UBER.COM,Travel,Sale,-23.40,
06/17/2026,06/18/2026,COSTCO WHSE #0455,Groceries,Sale,-187.93,
06/16/2026,06/17/2026,SPOTIFY USA,Entertainment,Sale,-11.99,
06/15/2026,06/16/2026,Payment Thank You-Mobile,,Payment,300.00,
06/14/2026,06/15/2026,WHOLE FOODS MKT #10432,Groceries,Sale,-54.62,
06/13/2026,06/14/2026,CHIPOTLE 2841,Food & Drink,Sale,-12.75,
